461515, root, [kworker/1:2-events], 2, kthreadd
461515, root, [kworker/1:2-mpt_poll_0], 2, kthreadd
461534, root, [kworker/7:2-mm_percpu_wq], 2, kthreadd
461534, root, [kworker/7:2-events], 2, kthreadd
470000, root, [kworker/4:2-mm_percpu_wq], 2, kthreadd
470000, root, [kworker/4:2-events], 2, kthreadd
355, root, [kworker/4:1H-events_highpri], 2, kthreadd
355, root, [kworker/4:1H-kblockd], 2, kthreadd
431, root, /lib/systemd/systemd-journald, 1, systemd
431, root, /lib/systemd/systemd-journald, 1, systemd
3457, kayn, /usr/bin/gnome-shell, 3226, systemd
3457, kayn, /usr/bin/gnome-shell, 3226, systemd
3926, kayn, /usr/lib/firefox/firefox, 3226, systemd
3926, kayn, /usr/lib/firefox/firefox, 3226, systemd
4547, kayn, /usr/lib/firefox/firefox, 3926, firefox
4665, kayn, /usr/bin/nautilus, 3226, systemd
4547, kayn, /usr/lib/firefox/firefox, 3926, firefox
4665, kayn, /usr/bin/nautilus, 3226, systemd
461515, root, [kworker/1:2-mpt_poll_0], 2, kthreadd
461515, root, [kworker/1:2-events], 2, kthreadd
461534, root, [kworker/7:2-events], 2, kthreadd
461534, root, [kworker/7:2-mm_percpu_wq], 2, kthreadd
466189, root, [kworker/6:1-events], 2, kthreadd
466189, root, [kworker/6:1-mm_percpu_wq], 2, kthreadd
470000, root, [kworker/4:2-events], 2, kthreadd
470000, root, [kworker/4:2-mm_percpu_wq], 2, kthreadd
470087, root, [kworker/2:4-events], 2, kthreadd
470087, root, [kworker/2:4-mm_percpu_wq], 2, kthreadd
470156, kayn, /usr/libexec/tracker-extract, 3226, systemd
356, root, [kworker/6:1H-events_highpri], 2, kthreadd
356, root, [kworker/6:1H-kblockd], 2, kthreadd
3240, kayn, /usr/libexec/tracker-miner-fs, 3226, systemd
3240, kayn, /usr/libexec/tracker-miner-fs, 3226, systemd
247814, kayn, /usr/libexec/tracker-store, 3226, systemd
247814, kayn, /usr/libexec/tracker-store, 3226, systemd
461534, root, [kworker/7:2-mm_percpu_wq], 2, kthreadd
461534, root, [kworker/7:2-events], 2, kthreadd
470087, root, [kworker/2:4-mm_percpu_wq], 2, kthreadd
